StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q13,Q14,Q42,Q19,Q16,Q20,Q21,Q29,Q30,Q31,Q32,Q24_1,Q24_3,Q24_4,Q24_5,Q24_7,Q24_6,Q24_9,Q27,Q35
2021-02-15 04:35:45,2021-02-15 04:41:33,IP Address,79.73.18.198,100,348,True,2021-02-15 04:41:34,R_b72PYaXQgy2I6Vb,,,,,52.6078033447265625,-1.0782928466796875,anonymous,EN,All models are wrong but some are useful.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,False,"mean,standard deviation","First, Second, Third",Discrete categories,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using different Likert scales within the same psychometric scale.,observations must come from the same distribution.,sampling individual with facebook but without snapchat account when testing the impact of snapchat on selfesteem.,lead to biased results.,6,6,2,6,2,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 04:25:46,2021-02-15 04:51:14,IP Address,109.147.99.47,100,1528,True,2021-02-15 04:51:15,R_1KwIHbN1srnkyC7,,,,,52.3997039794921875,0.98980712890625,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","First, Second, Third",Discrete categories,central limit theorem,the distribution of sample means will be normal even for small samples.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using different Likert scales within the same psychometric scale.,observations must come from the same distribution.,mixing continuous and discrete data.,affect the reliability of out data.,5,3,2,1,1,5,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 04:52:23,2021-02-15 04:55:40,IP Address,81.105.246.222,100,197,True,2021-02-15 04:55:41,R_3qPXDDHGloTLHyn,,,,,52.0287017822265625,-0.501495361328125,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation",Psychometric scales,All of the above,central limit theorem,the distribution of sample means will be normal even for small samples.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,mixing continuous and discrete data.,all of the above.,6,3,4,2,6,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 04:08:07,2021-02-15 05:29:04,IP Address,86.167.18.75,100,4857,True,2021-02-15 05:29:04,R_2SfpdHRufuzETdZ,,,,,51.470794677734375,-2.0821990966796875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",Discrete categories,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,mixing continuous and discrete data.,all of the above.,6,1,1,4,1,6,6,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-15 05:33:29,2021-02-15 05:42:53,IP Address,82.4.128.51,100,563,True,2021-02-15 05:42:53,R_wMN2URBSd4FW47L,,,,,52.95379638671875,-1.1571044921875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,can be used for all data types.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when sampling enough data.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,mixing continuous and discrete data.,all of the above.,4,2,2,6,1,6,3,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 06:08:22,2021-02-15 06:21:10,IP Address,84.64.15.7,100,768,True,2021-02-15 06:21:11,R_1kLExv8b77LPt5v,,,,,51.52679443359375,-0.1869964599609375,anonymous,EN,Models are simplifications of reality.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation",Psychometric scales,All of the above,central limit theorem,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling chickens when measuring the height of pigs.,all of the above.,6,4,1,1,1,6,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 06:17:32,2021-02-15 06:22:02,IP Address,86.19.183.117,100,269,True,2021-02-15 06:22:02,R_UmefDMdTnTKJqxP,,,,,52.9994049072265625,-1.131805419921875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation",None of the above because nothing is every truly continuous.,All of the above,central limit theorem,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,6,1,1,1,1,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 05:07:25,2021-02-15 06:43:55,IP Address,88.105.36.167,100,5789,True,2021-02-15 06:43:55,R_udCYcAwALOFCyFr,,,,,52.25,-0.88330078125,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","First, Second, Third",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using different Likert scales within the same psychometric scale.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,4,3,3,4,1,3,3,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-15 06:49:10,2021-02-15 06:54:46,IP Address,146.212.221.59,100,335,True,2021-02-15 06:54:46,R_1n2b56o8tw4VrD4,,,,,46.05029296875,14.5045928955078125,anonymous,EN,Models that represent reality in all it's details are the best models.,they make assumptions about what sort of input they receive to operate correctly.,use ranks rather than raw data.,Yes,True,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,4,3,2,2,2,6,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 08:25:23,2021-02-15 08:30:27,IP Address,81.147.110.149,100,303,True,2021-02-15 08:30:27,R_2tEGi026xqhSQ9z,,,,,52.23309326171875,-1.6884002685546875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,can be used for all data types.,Yes,True,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using different Likert scales within the same psychometric scale.,the normal distribution must be symmetric.,mixing continuous and discrete data.,all of the above.,4,3,3,2,1,4,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 08:46:48,2021-02-15 08:54:52,IP Address,81.244.226.140,100,484,True,2021-02-15 08:54:52,R_2sWK7V62wIzeUT7,,,,,50.5139007568359375,4.0171051025390625,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation",None of the above because nothing is every truly continuous.,All of the above,central limit theorem,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,4,1,1,4,1,5,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 09:07:38,2021-02-15 09:14:18,IP Address,2.221.155.57,100,399,True,2021-02-15 09:14:19,R_1P18MpdQtmpttlq,,,,,52.89959716796875,-1.271392822265625,anonymous,EN,Models that represent reality in all it's details are the best models.,the output is only as good as the match between input and assumed input.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",Discrete categories,central limit theorem,the distribution of sample means will be normal even for small samples.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,lead to biased results.,6,4,2,4,1,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 09:20:36,2021-02-15 09:26:06,IP Address,80.94.196.2,100,330,True,2021-02-15 09:26:07,R_2V9mi2ho8wflBEL,,,,,52.0316925048828125,-1.151092529296875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",Discrete categories,central limit theorem,the distribution of sample means will be normal even for small samples.,never,independent and identically distributed,each data point must be independent of other data points.,using different Likert scales within the same psychometric scale.,observations must come from the same distribution.,sampling individual with facebook but without snapchat account when testing the impact of snapchat on selfesteem.,all of the above.,3,3,2,2,2,4,4,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 09:48:22,2021-02-15 10:13:03,IP Address,81.99.66.21,100,1481,True,2021-02-15 10:13:04,R_3EEZsxRPHN78Id9,,,,,52.90289306640625,-1.5045928955078125,anonymous,EN,Models highlight aspects of reality they aim to describe.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation","True / False, Yes / No, Agree / Disagree",All of the above,central limit theorem,the distribution of sample means will be normal even for small samples.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling chickens when measuring the height of pigs.,all of the above.,6,3,1,1,1,3,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 07:46:46,2021-02-15 10:28:24,IP Address,31.205.199.165,100,9697,True,2021-02-15 10:28:24,R_1n101ptNH3kW324,,,,,52.95379638671875,-1.1571044921875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,False,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when sampling enough data.,independent and identically distributed,each data point must be independent of other data points.,using different Likert scales within the same psychometric scale.,observations must be normally distributed.,sampling chickens when measuring the height of pigs.,all of the above.,5,4,2,4,1,5,5,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-15 10:40:30,2021-02-15 10:52:20,IP Address,83.166.182.47,100,710,True,2021-02-15 10:52:20,R_1pWgp8m3A0NRMYV,,,,,52.92919921875,-1.10650634765625,anonymous,EN,Models that represent reality in all it's details are the best models.,they produce output after receiving an input.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation",None of the above because nothing is every truly continuous.,All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using different Likert scales within the same psychometric scale.,the normal distribution must be symmetric.,sampling individual with facebook but without snapchat account when testing the impact of snapchat on selfesteem.,all of the above.,6,4,1,6,1,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 10:57:36,2021-02-15 11:04:02,IP Address,188.221.145.83,100,386,True,2021-02-15 11:04:02,R_3nJaaURtsZzfysC,,,,,52.6493988037109375,-1.12030029296875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation",Psychometric scales,All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,5,2,1,6,1,6,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 03:09:35,2021-02-15 11:13:22,IP Address,188.47.116.58,100,29027,True,2021-02-15 11:13:23,R_3qVXnbPtNMpJECN,,,,,53.127593994140625,18.0243988037109375,anonymous,EN,Models that represent reality in all it's details are the best models.,the output is only as good as the match between input and assumed input.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using different Likert scales within the same psychometric scale.,observations must come from the same distribution.,sampling chickens when measuring the height of pigs.,all of the above.,3,2,2,1,1,2,2,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-15 05:50:15,2021-02-15 12:03:06,IP Address,82.29.132.108,100,22370,True,2021-02-15 12:03:06,R_30vsFsNuLQgYLzc,,,,,52.9994049072265625,-1.131805419921875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,6,1,1,1,1,6,6,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-15 08:15:25,2021-02-15 12:06:38,IP Address,2.49.62.85,100,13873,True,2021-02-15 12:06:38,R_1LFkMSX8Oeh1Dec,,,,,25.2633056640625,55.3087005615234375,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,6,3,2,2,1,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 10:05:22,2021-02-15 12:59:18,IP Address,87.115.238.105,100,10435,True,2021-02-15 12:59:18,R_1BXfpGQItEIWcTO,,,,,52.6493988037109375,-1.12030029296875,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,5,5,5,1,3,4,4,i watched the entire lecture before doing this quiz.,Yes please
2021-02-16 06:35:00,2021-02-16 06:39:59,IP Address,92.24.123.43,100,298,True,2021-02-16 06:39:59,R_28NHdXKd8a5Vyh3,,,,,53.8108978271484375,-1.636993408203125,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,can be used for all data types.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,6,6,1,3,1,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-16 10:25:37,2021-02-16 14:36:57,IP Address,94.193.241.61,100,15079,True,2021-02-16 14:36:58,R_3KP05oMvoiR8Wk6,,,,,51.4022979736328125,0.045806884765625,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation",None of the above because nothing is every truly continuous.,All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,never,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individual with facebook but without snapchat account when testing the impact of snapchat on selfesteem.,all of the above.,5,3,2,5,2,6,6,I've done this quiz multiple times already.,Yes please
2021-02-16 14:37:07,2021-02-16 14:42:47,IP Address,94.193.241.61,100,339,True,2021-02-16 14:42:47,R_3n5SxAlhs4cg0iv,,,,,51.4022979736328125,0.045806884765625,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,never,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,6,2,3,6,4,6,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-16 16:40:43,2021-02-16 16:45:36,IP Address,176.249.158.248,100,293,True,2021-02-16 16:45:36,R_1NyygPP88n7YN4K,,,,,52.1072998046875,-0.46490478515625,anonymous,EN,Models that represent reality in all it's details are the best models.,the output is only as good as the match between input and assumed input.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation",None of the above because nothing is every truly continuous.,All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when sampling enough data.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,5,1,1,3,2,6,6,i watched the entire lecture before doing this quiz.,Yes please
